13171 19416 17657 
13142 19437 17676 
13141 19456 17688 
13135 19466 17702 
13141 19482 17718 
13138 19493 17726 
13131 19507 17738 
13129 19515 17749 
13123 19522 17757 
13123 19533 17764 
13117 19545 17769 
13114 19555 17775 
13105 19560 17782 
13102 19569 17792 
13098 19572 17793 
13088 19578 17800 
13083 19586 17802 
13076 19591 17811 
13073 19599 17811 
13064 19600 17819 
13061 19603 17818 
13053 19609 17819 
13046 19613 17824 
13039 19617 17824 
13038 19620 17830 
13031 19626 17833 
13026 19626 17837 
13025 19629 17837 
13014 19633 17840 
13009 19632 17843 
13007 19640 17840 
13003 19637 17842 
12997 19641 17843 
12993 19638 17845 
12991 19642 17846 
12980 19642 17845 
12979 19646 17846 
12977 19643 17848 
12972 19648 17843 
12968 19648 17857 
12965 19650 17852 
12966 19650 17848 
12956 19646 17846 
12954 19649 17852 
12948 19652 17853 
12947 19652 17851 
12945 19655 17856 
12941 19654 17857 
12938 19650 17858 
12937 19651 17856 
12930 19652 17857 
12929 19660 17855 
12927 19661 17859 
12929 19657 17862 
12923 19661 17859 
12922 19656 17857 
12919 19656 17857 
12916 19660 17860 
12913 19662 17860 
12913 19660 17858 
12910 19658 17865 
12910 19665 17865 
12911 19664 17865 
12907 19664 17864 
12908 19668 17867 
12905 19658 17870 
12906 19664 17872 
12910 19666 17871 
12908 19670 17873 
12908 19674 17876 
12908 19666 17875 
12905 19672 17876 
12910 19674 17877 
12908 19673 17881 
12913 19675 17882 
12915 19677 17883 
12918 19674 17885 
12918 19680 17885 
12917 19674 17888 
12918 19680 17888 
12923 19680 17889 
12923 19680 17898 
12928 19680 17899 
12929 19684 17896 
12929 19681 17896 
12929 19682 17898 
12935 19685 17898 
12939 19688 17904 
12941 19686 17905 
12943 19685 17910 
12943 19689 17908 
12944 19686 17903 
12947 19688 17905 
12951 19688 17912 
12951 19691 17910 
12953 19690 17914 
12958 19690 17913 
12958 19690 17912 
12960 19691 17916 
12960 19693 17917 
12962 19691 17918 
12964 19695 17918 
12967 19697 17920 
12969 19693 17919 
12970 19697 17923 
12968 19694 17920 
12967 19691 17924 
12974 19691 17922 
12974 19692 17922 
12978 19697 17926 
12978 19696 17923 
12977 19696 17924 
12979 19692 17923 
12980 19694 17920 
12980 19696 17928 
12983 19700 17931 
12986 19697 17929 
12985 19697 17932 
12987 19696 17931 
12987 19697 17923 
12985 19693 17931 
12988 19698 17936 
12991 19700 17935 
12993 19702 17939 
12993 19702 17937 
12994 19700 17940 
12995 19699 17934 
12995 19701 17938 
12999 19701 17939 
13001 19704 17941 
13008 19704 17942 
13005 19705 17943 
13008 19706 17944 
13005 19706 17946 
13010 19704 17948 
13013 19706 17947 
13013 19704 17953 
13018 19712 17952 
13018 19706 17954 
13021 19709 17956 
13023 19712 17952 
13026 19705 17956 
13028 19712 17959 
13031 19712 17960 
13034 19714 17963 
13037 19714 17969 
13039 19716 17965 
13041 19712 17961 
13041 19710 17965 
13047 19712 17970 
13049 19717 17968 
13050 19724 17970 
13055 19722 17973 
13055 19720 17976 
13054 19718 17971 
13063 19723 17975 
13063 19725 17974 
13068 19721 17980 
13073 19718 17988 
13077 19726 17985 
13079 19726 17984 
13080 19724 17984 
13084 19724 17988 
13082 19722 17993 
13089 19724 17993 
13098 19728 17995 
13097 19728 17997 
13098 19730 17992 
13101 19726 17994 
13102 19727 18000 
13108 19733 17998 
13115 19735 18002 
13118 19732 18007 
13116 19732 18006 
13123 19738 18005 
13122 19736 18003 
13129 19733 18006 
13131 19735 18011 
13136 19736 18016 
13137 19740 18014 
13141 19737 18021 
13145 19738 18012 
13148 19737 18011 
13148 19739 18020 
13153 19748 18020 
13158 19741 18025 
13163 19745 18028 
13167 19747 18031 
13169 19744 18027 
13169 19746 18033 
13173 19747 18031 
13177 19751 18031 
13180 19749 18034 
13187 19754 18040 
13190 19749 18037 
13190 19750 18038 
13194 19744 18038 
